n,Ordenado,,method,exit,Time (microseconds)
76,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,38
77,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,23
78,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,27
79,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,34
80,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,23
81,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,25
82,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,27
83,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,26
84,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,30
85,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,16
86,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,17
87,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,31
88,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,17
89,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,20
90,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,29
91,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,22
92,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,30
93,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,40
94,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,38
95,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,20
96,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,22
97,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,43
98,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,44
99,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,36
100,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,45
101,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,45
102,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,65
103,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,37
104,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,145
105,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,43
106,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,49
107,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,43
108,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,26
109,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,26
110,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,52
111,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,49
112,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,46
113,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,53
114,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,47
115,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,32
116,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,62
117,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,33
118,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,50
119,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,52
120,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,42
121,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,32
122,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,33
123,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,39
124,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,46
125,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,34
126,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,42
127,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,36
128,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,51
129,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,36
130,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,46
131,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,41
132,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,66
133,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,48
134,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,58
135,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,42
136,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,40
137,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,73
138,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,43
139,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,71
140,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,73
141,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,51
142,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,45
143,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,46
144,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,45
145,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,45
146,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,46
147,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,75
148,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,49
149,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,55
150,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,49
151,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,51
152,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,52
153,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,52
154,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,52
155,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,83
156,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,100
157,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,53
158,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,68
159,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,76
160,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,59
161,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,57
162,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,93
163,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,62
164,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,59
165,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,118
166,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,111
167,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,93
168,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,100
169,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,99
170,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,114
171,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,117
172,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,99
173,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,117
174,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,64
175,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,101
176,QuickSort,VERDADERO,QuickSort.sort(java.lang.Comparable[ ], int),VERDADERO,111
